(221,8)
(221,21)
(222,37)
(222,50)
(222,58)
(222,72)
(222,84)
(222,99)
(222,115)
(222,124)
(222,132)
(222,144)
(222,157)
(223,169)
(223,178)
(222,185)
(218,193)
(213,198)
(205,202)
(195,206)
(184,206)
(172,206)
(156,207)
(145,207)
(136,209)
(127,209)
(118,209)
(111,211)
(104,214)
(100,217)
(100,221)
(99,225)
(94,229)
(94,233)
(94,240)
(94,249)
(94,258)
(94,267)
(94,273)
(95,280)
(95,288)
(95,296)
(95,304)
(98,309)
(101,314)
(102,316)
(103,316)
(107,320)
(112,322)
(118,322)
(123,322)
(128,323)
(136,323)
(143,323)
(153,324)
(165,326)
(171,326)
(179,326)
(188,326)
(198,326)
(205,332)
(210,333)
(215,336)
(220,339)
(222,344)
(222,355)
(223,363)
(223,373)
(223,382)
(223,392)
(223,404)
(223,416)
(222,427)
(217,432)
(214,439)
(212,441)
(201,443)
(193,446)
(184,446)
(174,446)
(166,448)
(155,446)
(145,446)
(136,448)
(125,448)
(113,448)
(103,452)
(99,457)
(96,467)
(93,472)
(93,481)
(93,490)
(95,503)
(95,515)
(95,521)
(95,531)
(96,539)
(99,548)
(106,555)
(111,561)
(117,563)
(128,565)
(140,565)
(151,565)
(161,565)
(168,565)
(178,565)
(187,565)
(196,565)
(204,565)
(215,565)
(224,565)
(233,565)
(242,564)
(255,564)
(263,564)
(273,564)
(286,564)
(300,564)
(318,564)
(329,564)
(341,565)
(352,564)
(367,564)
(382,564)
(395,564)
(410,564)
(427,564)
(440,564)
(453,563)
(465,557)
(475,551)
(481,543)
(483,532)
(482,520)
(483,509)
(482,496)
(479,482)
(479,466)
(474,457)
(467,452)
(454,448)
(442,446)
(429,446)
(413,446)
(400,446)
(386,446)
(365,441)
(355,431)
(351,419)
(349,409)
(349,395)
(349,384)
(352,370)
(353,359)
(352,347)
(354,338)
(357,333)
(363,329)
(372,327)
(381,327)
(390,326)
(400,326)
(413,326)
(428,322)
(437,323)
(450,323)
(466,316)
(477,306)
(480,295)
(482,281)
(482,262)
(481,249)
(476,234)
(476,219)
(468,211)
(457,209)
(443,205)
(430,205)
(416,205)
(400,205)
(381,202)
(360,198)
(353,186)
(348,170)
(350,154)
(349,140)
(351,123)
(350,104)
(350,91)
(349,71)
(349,54)
(349,41)
(350,19)
(350,8)
(351,2)
(351,0)
