(1,349)
(11,351)
(25,352)
(35,352)
(40,351)
(49,351)
(55,351)
(68,350)
(79,351)
(95,351)
(110,353)
(120,348)
(139,350)
(150,338)
(150,338)
(156,328)
(157,313)
(156,303)
(156,292)
(156,275)
(156,259)
(157,245)
(157,231)
(159,216)
(156,197)
(156,178)
(156,153)
(157,139)
(157,124)
(157,116)
(165,105)
(175,96)
(183,96)
(194,95)
(217,93)
(233,94)
(252,94)
(270,98)
(282,111)
(282,119)
(284,134)
(286,152)
(286,165)
(286,177)
(286,194)
(287,212)
(287,229)
(287,244)
(287,267)
(287,286)
(287,306)
(287,332)
(290,354)
(284,375)
(285,399)
(289,419)
(289,434)
(289,450)
(283,459)
(276,472)
(267,476)
(255,477)
(243,477)
(228,477)
(211,478)
(190,478)
(176,478)
(157,478)
(137,481)
(119,482)
(102,489)
(96,498)
(94,518)
(93,532)
(91,551)
(91,567)
(94,580)
(101,595)
(114,605)
(126,610)
(141,609)
(155,611)
(171,613)
(193,613)
(215,613)
(238,613)
(251,611)
(274,611)
(301,611)
(320,612)
(348,611)
(372,611)
(399,610)
(421,610)
(447,610)
(478,612)
(501,610)
(523,610)
(534,603)
(539,597)
(545,559)
(542,541)
(545,524)
(545,514)
(544,499)
(545,476)
(545,462)
(543,444)
(536,425)
(518,420)
(498,414)
(485,414)
(464,412)
(452,412)
(442,412)
(428,411)
(425,407)
(423,407)
(420,402)
(417,399)
(414,392)
(414,383)
(414,375)
(414,356)
(413,343)
(414,326)
(414,311)
(414,297)
(413,277)
(414,257)
(414,240)
(414,224)
(413,211)
(413,197)
(415,181)
(421,171)
(431,164)
(441,157)
(453,157)
(466,157)
(480,156)
(493,157)
(508,157)
(522,157)
(538,157)
(552,157)
(565,157)
(581,157)
(593,157)
(605,157)
(613,156)
(626,156)
(633,156)
